Nome, Solucao, #Rotas, clocks, clocks_melhor_sol
mgval_0.45_2C, 462.0, 8, 24056219, 546887
mgval_0.45_3A, 82.0, 2, 34776865, 483207
mgval_0.45_3B, 91.0, 3, 27901497, 412790
mgval_0.45_3C, 143.0, 7, 20792660, 115886
mgval_0.45_4A, 381.0, 3, 84759508, 4848228
mgval_0.45_4B, 471.0, 4, 84433829, 2360595
mgval_0.45_4C, 480.0, 5, 78689298, 3643192
mgval_0.45_4D, 577.0, 9, 61635973, 3424412
mgval_0.45_5A, 392.0, 3, 74588893, 1951058
mgval_0.45_5B, 416.0, 4, 65361438, 1513019
mgval_0.45_5C, 492.0, 5, 75782468, 11464635
mgval_0.45_5D, 552.0, 9, 54012246, 2955842
mgval_0.45_6A, 213.0, 3, 39035736, 195520
mgval_0.45_6B, 210.0, 4, 41987826, 455053
mgval_0.45_6C, 296.0, 10, 31398770, 862696
mgval_0.45_7A, 261.0, 3, 41999050, 497899
mgval_0.45_7B, 294.0, 4, 61083003, 1436134
mgval_0.45_7C, 336.0, 9, 48631932, 5131863
mgval_0.45_8A, 370.0, 3, 58905192, 1726576
mgval_0.45_8B, 360.0, 4, 68039481, 4488219
mgval_0.45_8C, 496.0, 9, 58000590, 18487483
mgval_0.45_9A, 306.0, 3, 98355861, 3336268
mgval_0.45_9B, 323.0, 4, 94700140, 3237482
mgval_0.45_9C, 291.0, 5, 89569150, 5117710
mgval_0.45_9D, 387.0, 10, 79424726, 3815194
mgval_0.45_10A, 388.0, 3, 123379308, 3405173
mgval_0.45_10B, 399.0, 4, 104544416, 2427986
mgval_0.45_10C, 403.0, 5, 105557906, 4166213
mgval_0.45_10D, 488.0, 10, 88987807, 15479239
mgval_0.50_1A, 145.0, 2, 29095529, 93044
mgval_0.50_1B, 170.0, 3, 33632294, 253385
mgval_0.50_1C, 255.0, 9, 25585957, 4042187
mgval_0.50_2A, 248.0, 2, 34375276, 51946
mgval_0.50_2B, 284.0, 3, 34041979, 152950
mgval_0.50_2C, 464.0, 8, 21389668, 658758
mgval_0.50_3A, 75.0, 2, 33946619, 667844
mgval_0.50_3B, 107.0, 3, 25733750, 4734
mgval_0.50_3C, 137.0, 7, 19635965, 108901
mgval_0.50_4A, 350.0, 3, 74356374, 1026111
mgval_0.50_4B, 413.0, 4, 75755391, 2022127
